_id,Inspection ID,Facility ID,Facility Name,Facility Address,Facility Address 2,Facility Municipality Name,Facility City,Facility County,Facility State,Facility Postal Code,Facility Latitude,Facility Longitude,Venue Type,Inspection Date,Inspection End,Inspection Purpose,Inspection Passed,Inspection Number,Inspector Name,"Free Chlorine, Shallow","Free Chlorine, Deep","Combined Chlorine, Shallow","Combined Chlorine, Deep","Free Bromine, Shallow","Free Bromine, Deep","pH Value, Shallow","pH Value, Deep",Cyanuric Acid,Turnover,Enclosure,Main Drain Visible,Safety Equipment,Disinfectant Level,pH Balance,No Imminent Health Hazards,Abated Date
277216,197070,293,COMFORT SUITES POOL,750 ATEN ROAD,,Findlay Township,CORAOPOLIS,Allegheny County,PA,15108,40.458483,-80.192628,POOLS (INDOOR),2021-12-06T11:50:00,2021-12-07T12:25:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,1,,1,,,,,,,,t,t,f,t,t,t,2022-11-16
277217,197128,1399,HOME 2 SUITES POOL,8630 DUNCAN AVENUE,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.561668,-80.0270325,POOLS (INDOOR),2021-12-08T15:00:00,2021-12-09T15:40:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,2,,1,,,,7.4,,,75,t,t,f,t,t,t,2022-02-15
277218,197133,1233,LA FITNESS NORTH HILLS POOL,8700 DUNCAN AVENUE,,McCandless,MC CANDLESS,Allegheny County,PA,15237,40.562811,-80.026578,POOLS (INDOOR),2021-12-08T14:30:00,2021-12-09T14:40:00,FOLLOW UP INSPECTION,t,4,NOBBS SCOTT,,,,,,,,,,,t,t,f,t,t,t,2021-12-14
277219,197154,1995,PGH COLFAX K - 8 POOL,2332 BEECHWOOD BOULEVARD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.433058,-79.9153605,POOLS (SCHOOLS),2021-12-10T09:30:00,2021-12-10T10:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2.4,,0,,,,7.6,,,110,t,t,t,t,t,t,2021-12-10
277220,197212,2456,VIRGINIA MANSIONS CONDO SPA,2120 GREENTREE ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.392324,-80.0710245,SPA/HOT TUB (INDOOR),2021-12-13T10:35:00,2021-12-14T10:37:00,FOLLOW UP INSPECTION,t,4,WILSON ANGELA,,,,,,,,,,,t,t,t,t,t,t,2021-12-15
277221,197438,2463,SOUTH FAYETTE JR / SR HIGH SCHOOL POOL,3700 OLD OAKDALE ROAD,,South Fayette Township,MCDONALD,Allegheny County,PA,15057,40.377375,-80.170965,POOLS (SCHOOLS),2021-12-28T10:00:00,2021-12-30T10:15:00,FOLLOW UP INSPECTION,t,2,WILSON ANGELA,,,,,,,,,,,t,t,f,t,t,t,2022-10-14
277222,197652,1409,WYNDHAM GRAND PITTSBURGH - POOL,600 COMMONWEALTH PLACE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.441734,-80.0064045,POOLS (INDOOR),2021-12-28T11:30:00,2022-01-14T11:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,2021-12-28
277223,197658,2320,YMCA /SEWICKLEY VALLEY / SPA,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.543209,-80.179974,SPA/HOT TUB (INDOOR),2022-01-13T12:00:00,2022-01-14T12:30:00,INITIAL INSPECTION,t,1,LAURIA D. ANTHONY,,,,,4,,7.5,,,80,t,t,f,t,t,t,2022-03-03
277224,197661,2318,YMCA / SEWICKLEY / POOL,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.543209,-80.179974,POOLS (INDOOR),2022-01-13T10:50:00,2022-01-14T11:30:00,INITIAL INSPECTION,t,1,LAURIA D. ANTHONY,2,2,2,2,,,7.4,7.4,,600,t,t,f,t,t,t,2022-03-03
277225,198052,2512,HOSANNA HOUSE POOL,807 WALLACE AVENUE,,Wilkinsburg,PITTSBURGH,Allegheny County,PA,15221,40.443705,-79.8805665,POOLS (INDOOR),2022-02-02T09:30:00,2022-02-11T10:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,3,,0,,,,7.6,,,160,t,t,t,t,t,t,2022-02-02
277226,198053,2512,HOSANNA HOUSE POOL,807 WALLACE AVENUE,,Wilkinsburg,PITTSBURGH,Allegheny County,PA,15221,40.443705,-79.8805665,POOLS (INDOOR),2022-02-02T09:30:00,2022-02-11T10:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,3,,0,,,,7.6,,,75,t,t,t,t,t,t,2022-02-14
277227,198087,2153,LONGWOOD AT OAKMONT INDOOR CONDO SPA,500 COXCOMB HILL ROAD,,Plum,VERONA,Allegheny County,PA,15147,40.526397,-79.807095,SPA/HOT TUB (INDOOR),2022-02-11T11:15:00,2022-02-14T11:29:00,INITIAL INSPECTION,f,1,WILSON ANGELA,,,,,6.75,,7.2,,,90,t,t,t,t,t,t,2022-02-14
277228,198211,526,MASONIC VILLAGE @ SEWICKLEY WELLNESS CENTER,1000 MASONIC DRIVE,,Aleppo Township,SEWICKLEY,Allegheny County,PA,15143,40.530024,-80.142714,SPA/HOT TUB (INDOOR),2022-02-22T13:00:00,2022-02-23T13:30:00,INITIAL INSPECTION,f,1,LAURIA D. ANTHONY,2.4,2.4,0,0,,,7.6,7.6,,210,t,t,t,t,t,t,2022-03-01
277229,198231,2318,YMCA / SEWICKLEY / POOL,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.543209,-80.179974,POOLS (INDOOR),2022-02-23T14:45:00,2022-02-24T14:55:00,FOLLOW UP INSPECTION,t,2,LAURIA D. ANTHONY,,,,,,,7.4,,,600,t,t,f,t,t,t,2022-03-03
277230,198232,2319,YMCA /SEWICKLEY VALLEY/ SMALL POOL,625 BLACKBURN ROAD,,Sewickley,SEWICKLEY,Allegheny County,PA,15143,40.543209,-80.179974,POOLS (INDOOR),2022-02-23T15:00:00,2022-02-24T15:10:00,FOLLOW UP INSPECTION,t,2,LAURIA D. ANTHONY,,,,,,,7.4,,,110,t,t,f,t,t,t,2022-03-03
277231,198293,1007,LA FITNESS PLEASANT HILLS POOL,601 CLAIRTON BOULEVARD,,Pleasant Hills,PITTSBURGH,Allegheny County,PA,15236,40.332177,-79.9441785,POOLS (INDOOR),2022-02-28T15:00:00,2022-03-01T16:00:00,INITIAL INSPECTION,t,1,CONLEY FAON,4.2,4.2,0.2,0.2,,,7.2,7.2,,0,t,t,t,t,t,t,2023-05-10
277232,198384,213,HOLIDAY INN EXPRESS POOL,3053 WASHINGTON PIKE,,South Fayette Township,BRIDGEVILLE,Allegheny County,PA,15017,40.352292,-80.112681,POOLS (INDOOR),2022-03-07T10:20:00,2022-03-07T10:39:00,INITIAL INSPECTION,t,1,WOLFE CURRIER,1.2,,0.8,,,,7.6,,,18,t,t,t,t,t,t,2022-03-10
277233,198419,9337,HIGHPOINT FITNESS LAP POOL,1000 HIGBEE DRIVE,,Bethel Park,Bethel Park,Allegheny County,PA,15102,40.337505,-80.0215425,POOLS (INDOOR),2022-03-08T13:00:00,2022-03-09T14:00:00,INITIAL INSPECTION,f,1,CONLEY FAON,3,3,0,0,,,7.6,7.6,,250,t,t,t,t,t,t,2022-03-14
277234,198425,9339,HIGHPOINT FITNESS THERAPY POOL,1000 HIGBEE DRIVE,,Bethel Park,BETHEL PARK,Allegheny County,PA,15102,40.337505,-80.0215425,POOLS (INDOOR),2022-03-08T13:00:00,2022-03-09T14:00:00,INITIAL INSPECTION,f,1,CONLEY FAON,3,3,0,0,,,7.6,7.6,,340,t,t,t,t,t,t,2022-03-14
277235,198457,1960,PITTSBURGH FRICK SCIENCE & TECHNOLOGY POOL,107 THACKERAY STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.443498,-79.957683,POOLS (INDOOR),2022-03-09T09:00:00,2022-03-11T09:50:00,INITIAL INSPECTION,t,1,WILSON ANGELA,2.2,,0,,,,7.4,,,,t,t,f,t,t,t,2023-08-03
277236,198825,10317,WINCHESTER ASSOCIATION POOL,540 N NEVILLE STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15213,40.449078,-79.9484265,POOL (CONDO INDOOR),2022-04-05T15:00:00,2022-04-06T15:30:00,INITIAL INSPECTION,t,1,WILSON ANGELA,6,,0.2,,,,7.4,,,45,t,t,t,t,t,t,2022-05-09
277237,198926,1028,LA FITNESS MONROEVILLE SPA,4100 WM PENN HIGHWAY,,Monroeville,MONROEVILLE,Allegheny County,PA,15146,,,SPA/HOT TUB (INDOOR),2022-04-12T14:15:00,2022-04-13T15:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2.5,,0,,,,7.3,,,23,t,t,t,t,t,t,2022-04-14
277238,198967,2307,CLUB JULIAN SPA,101 CORBETT COURT,,Ross Township,PITTSBURGH,Allegheny County,PA,15237,40.547754,-80.019585,SPA/HOT TUB (INDOOR),2022-04-14T09:20:00,2022-04-15T09:40:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,3,,0.6,,,,7.4,,,80,t,t,t,t,t,t,2022-05-26
277239,199042,10577,THE DISTRICT - POOL,1759 Waterfront PLACE,,Pittsburgh,Pittsburgh,Allegheny County,PA,15222,40.451589,-79.987347,POOLS (OUTDOOR),2022-04-18T14:01:00,2022-04-20T15:30:00,INITIAL INSPECTION,t,1,ROBINSON LAWRENCE,3.5,,0,,,,8.0,,,91,t,t,f,t,t,t,2022-07-26
277240,199131,2003,JEWISH COMMUNITY CENTER TRAINING POOL,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.437657,-79.9239015,POOLS (INDOOR),2022-04-25T13:15:00,2022-04-26T13:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2.6,,0,,,,7.4,,,100,t,t,t,t,t,t,2022-04-26
277241,199222,1200,CAMBRIA SUITES PGH @ PPG PAINTS ARENA SPA,1320 CENTRE AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.440087,-79.987977,SPA/HOT TUB (INDOOR),2022-04-28T14:30:00,2022-05-02T15:00:00,INITIAL INSPECTION,t,1,ANDERSON IAN,22.5,,0,,,,7.4,,,44,t,t,f,t,t,t,2022-06-03
277242,199252,2441,MCKEE ELEMENTARY SCHOOL - POOL,1501 OAKDALE ROAD,,North Fayette Township,OAKDALE,Allegheny County,PA,15071,40.415319,-80.193411,POOLS (SCHOOLS),2022-05-02T11:00:00,2022-05-03T11:30:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,4,4,0,0.2,,,7.2,7.2,,60,t,t,f,t,t,t,
277243,199269,4961,HILTON GARDEN INN - POOL,303 PARK MANOR  DRIVE,,Robinson Township,PITTSBURGH,Allegheny County,PA,15205,40.450212,-80.1666855,POOLS (INDOOR),2022-05-02T09:35:00,2022-05-04T10:35:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,3,,0.2,,,,7.4,,,55,t,t,f,t,t,t,2025-02-06
277244,199292,1970,TREES HALL POOL,1970 ALLEQUIPPA STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15260,,,POOLS (SCHOOLS),2022-04-25T12:00:00,2022-05-05T14:00:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,9.8,9.8,1,1,0,0,7.6,7.6,<50,,t,t,f,t,t,t,2022-07-07
277245,199325,10317,WINCHESTER ASSOCIATION POOL,540 N NEVILLE STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15213,40.449078,-79.9484265,POOL (CONDO INDOOR),2022-05-06T15:00:00,2022-05-09T15:10:00,FOLLOW UP INSPECTION,t,2,WILSON ANGELA,,,,,,,,,,,t,t,t,t,t,t,2022-05-09
277246,199330,10000,COURTYARD BY MARRIOTT WEST HOMESTEAD - POOL,401 W WATERFRONT DRIVE,,West Homestead,Homestead,Allegheny County,PA,15120,40.405725,-79.920837,POOLS (INDOOR),2022-05-04T14:30:00,2022-05-09T15:00:00,FOLLOW UP INSPECTION,t,2,ANDERSON IAN,3.8,,0.2,,,,7.4,,,,t,t,t,t,t,t,2022-05-10
277247,199515,1494,BAKERY LIVING 2.0 POOL,6480 LIVING PLACE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15206,40.456152,-79.9169265,POOLS (INDOOR),2022-05-19T14:10:00,2022-05-20T15:15:00,INITIAL INSPECTION,f,1,ANDERSON IAN,,,,,8,,7.4,,,70,t,t,t,t,t,t,2022-05-24
277248,199567,2020,MOORE POOL/CITY OF PITTSBURGH,1801 PIONEER AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15226,40.405545,-80.013933,POOLS (OUTDOOR),2022-05-20T13:30:00,2022-05-23T14:37:00,INITIAL INSPECTION,t,1,CALIGURI JASON,6.5,6.5,0.5,0.5,,,7.0,7.0,,900,t,t,f,t,t,t,2022-08-15
277249,199627,2283,FOX CHAPEL MEWS #1 POOL,300 FOX CHAPEL ROAD,,O'Hara Township,PITTSBURGH,Allegheny County,PA,15238,40.492467,-79.879788,POOL (CONDO INDOOR),2022-05-26T09:00:00,2022-05-27T10:00:00,INITIAL INSPECTION,f,1,FREEMAN MICHELE,1.4,1.4,0.2,0.2,0,0,7.2,7.2,,50,t,t,t,t,t,t,
277250,199630,2234,HOLIDAY INN EXPRESS HARMAR / POOL,10 LANDINGS  DRIVE,,Harmar Township,PITTSBURGH,Allegheny County,PA,15238,40.540293,-79.82703,POOLS (INDOOR),2022-05-25T10:00:00,2022-05-27T12:00:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,15,15,0.2,0.2,0,0,7.8,7.8,<50,,t,t,t,t,t,t,2024-04-19
277251,199632,5961,HILTON GARDEN INN PITTSBURGH AIRPORT-POOL,9600 UNIVERSITY BOULEVARD,,Moon Township,CORAOPOLIS,Allegheny County,PA,15108,40.50216,-80.2235115,POOLS (INDOOR),2022-05-24T14:35:00,2022-05-27T14:55:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,6.2,,0.6,,,,7.4,,,80,t,t,t,t,t,t,2022-06-01
277252,199698,1493,KENNEDY HIGHLANDS APARTMENT POOL,200 ADAMS  DRIVE,,Kennedy Township,MCKEES ROCKS,Allegheny County,PA,15136,40.465314,-80.0982945,POOLS (OUTDOOR),2022-06-01T14:10:00,2022-06-02T14:45:00,INITIAL INSPECTION,t,1,LAURIA D. ANTHONY,2.4,2.4,2.4,2.4,,,7.2,7.2,,,t,t,t,t,t,t,2022-07-01
277253,199743,2388,EDGETOWN CONDO POOL,205 CORAOPOLIS ROAD,,Kennedy Township,KENNEDY TWP.,Allegheny County,PA,15108,40.499388,-80.1120645,POOL (CONDO OUTDOOR),2022-06-06T14:00:00,2022-06-07T14:40:00,INITIAL INSPECTION,f,1,LAURIA D. ANTHONY,1,1,1,1,,,7.8,7.8,,80,t,t,t,t,t,t,2022-06-23
277254,199748,2212,ETNA POOL, PINE STREET,,Etna,PITTSBURGH,Allegheny County,PA,15223,,,POOLS (OUTDOOR),2022-06-06T11:00:00,2022-06-07T12:30:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,1.8,1.6,0.2,0.2,0,0,7.2,7.2,<50,450,t,t,f,t,t,t,2022-08-18
277255,199753,7341,HYATT REGENCY PGH INT'L AIRPORT / POOL,1111 AIRPORT  BOULEVARD,Po Box  12420,Findlay Township,Pittsburgh,Allegheny County,PA,15231,40.496346,-80.2599075,POOLS (INDOOR),2022-06-07T09:20:00,2022-06-07T09:45:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,,,,,10,,,,,55,t,t,f,t,t,f,2022-06-08
277256,199785,1240,HIGHLANDS ESTATES CONDO ASSOCIATION POOL,601 GLENGARRY  COURT,,Plum,PLUM BOROUGH,Allegheny County,PA,15239,,,POOL (CONDO OUTDOOR),2022-06-07T09:00:00,2022-06-08T09:45:00,FOLLOW UP INSPECTION,t,4,WILSON ANGELA,5.6,,0.2,,,,7.2,,40,,t,t,f,t,f,t,2022-08-23
277257,199827,372,FOX CHAPEL YACHT CLUB POOL,1366 OLD FREEPORT ROAD,,O'Hara Township,PITTSBURGH,Allegheny County,PA,15238,40.485681,-79.8724755,POOLS (OUTDOOR),2022-06-08T09:30:00,2022-06-09T10:00:00,FOLLOW UP INSPECTION,t,2,FREEMAN MICHELE,1.2,1.2,0.2,0.2,0,0,7.4,7.4,<50,250,t,t,t,t,t,t,2023-08-10
277258,199836,669,DAYS INN - BANKSVILLE POOL,1150 BANKSVILLE ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15216,40.419198,-80.0302635,POOLS (OUTDOOR),2022-06-08T13:10:00,2022-06-09T13:45:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,5,,0.2,,,,7.0,,<30,,t,t,f,t,f,t,2022-09-01
277259,199840,10638,HAMPTON INN & SUITES / WATERFRONT POOL,301 W WATERFRONT DRIVE,,West Homestead,Homestead,Allegheny County,PA,15120,40.406958,-79.920153,POOLS (INDOOR),2022-06-09T13:00:00,2022-06-10T13:15:00,FOLLOW UP INSPECTION,t,2,ANDERSON IAN,,,,,,,,,,,t,t,t,t,t,t,2022-08-22
277260,199849,7206,CALAIS VILLAGE CONDO POOL,553 SLOOP ROAD,,McCandless,Pittsburgh,Allegheny County,PA,15237,40.565682,-80.054631,POOL (CONDO OUTDOOR),2022-06-03T13:00:00,2022-06-10T13:45:00,FOLLOW UP INSPECTION,t,3,NOBBS SCOTT,2.8,,0,,,,7.4,,45,70,t,t,f,t,t,t,2022-06-22
277261,199888,2113,GLENWOOD  CONDO POOL,4661 OLD WM PENN HIGHWAY,,Monroeville,MONROEVILLE,Allegheny County,PA,15146,,,POOL (CONDO OUTDOOR),2022-06-13T08:30:00,2022-06-14T09:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,4.8,,0.2,,,,7.6,,,130,t,t,t,t,t,t,2022-06-15
277262,199889,446,RESIDENCE AT THE WATERFRONT POOL,611 E WATERFRONT DRIVE,,Munhall,MUNHALL,Allegheny County,PA,15120,40.414284,-79.9052985,POOLS (OUTDOOR),2022-06-10T13:50:00,2022-06-14T14:40:00,FOLLOW UP INSPECTION,t,2,ANDERSON IAN,2,,0,,,,7.8,,,130,t,t,f,t,t,t,2022-06-30
277263,199890,2194,BEACON HILL CONDOS - POOL,745 BEACON HILL DRIVE,,Wilkinsburg,WILKINSBURG,Allegheny County,PA,15221,,,POOL (CONDO OUTDOOR),2022-06-13T09:45:00,2022-06-14T10:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,4,,0,,,,7.4,,,90,t,t,t,t,t,t,2022-06-15
277264,199920,2233,HIGHLAND WOODS POOL,120 RIVERMONT COURT,,Harmar Township,CHESWICK,Allegheny County,PA,15024,40.565574,-79.8195375,POOL (CONDO OUTDOOR),2022-06-13T14:00:00,2022-06-15T15:00:00,INITIAL INSPECTION,t,1,FREEMAN MICHELE,7.6,7.6,0,0,0,0,7.4,7.4,,30,t,f,f,t,t,f,2024-07-24
277265,199943,6941,HAMPTON INN / WEST MIFFLIN POOL,1550 LEBANON CHURCH  ROAD,,West Mifflin,WEST MIFFLIN,Allegheny County,PA,15236,40.346505,-79.9540155,POOLS (OUTDOOR),2022-06-15T13:30:00,2022-06-16T15:00:00,INITIAL INSPECTION,f,1,CONLEY FAON,4,4,0,0,,,7.2,7.2,,50,t,t,t,t,t,t,2022-06-20
277266,199948,4184,HYATT HOUSE / SHADYSIDE POOL,5335 BAUM  BOULEVARD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15224,40.456908,-79.9391025,POOLS (INDOOR),2022-06-13T11:00:00,2022-06-16T11:47:00,INITIAL INSPECTION,f,1,TIJANI ISSA,3,3,0.2,0.2,,,7.4,7.3,,55,t,t,t,t,t,t,2022-06-16
277267,199954,5481,EASTSIDE BOND APARTMENT POOL,6105 SPIRIT STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15206,40.460067,-79.9232535,POOLS (OUTDOOR),2022-06-14T14:00:00,2022-06-16T14:50:00,INITIAL INSPECTION,t,1,ANDERSON IAN,5,,0,,,,7.4,,,90,t,t,f,t,t,t,2022-07-25
277268,199958,1241,PARKVIEW ESTATES,251 ESTATES DRIVE,,Richland Township,GIBSONIA,Allegheny County,PA,15044,40.659912,-79.926984,POOL (CONDO OUTDOOR),2022-06-14T09:00:00,2022-06-16T09:30:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,7.2,7.2,0,0,,,7.4,7.4,<30,45,t,t,f,t,t,t,2022-06-28
277269,200030,2183,WHITE OAK FARMS POOL,502 RIVERVIEW DRIVE,,White Oak,WHITE OAK,Allegheny County,PA,15131,40.322637,-79.798059,POOLS (OUTDOOR),2022-06-16T13:35:00,2022-06-20T14:25:00,FOLLOW UP INSPECTION,t,2,TIJANI ISSA,6.2,6.2,0.2,0.2,,,7.2,7.2,40,150,t,t,f,t,t,t,2022-09-02
277270,200032,2253,NORTH PARK SWIMMING POOL, S RIDGE DRIVE,,McCandless,ALLISON PARK,Allegheny County,PA,15101,,,POOLS (OUTDOOR),2022-06-17T14:10:00,2022-06-20T14:45:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,1,1,0,0,,,7.4,7.4,<30,4800,t,t,f,t,t,t,2022-08-10
